id,user_id,amount,transaction_type,reference_id,reference_type,status,remark,created_at,updated_at
4595996,68578,20.0,1,4283791,cash_point,1,Successful DYPIQGN##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:17,2026-01-01T03:10:17
4595997,48167,5.0,1,4283792,cash_point,1,Successful DYPIQGN##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:17,2026-01-01T03:10:17
4595998,68578,20.0,1,4283793,cash_point,1,Successful ULZIEWT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:18,2026-01-01T03:10:18
4595999,48167,5.0,1,4283794,cash_point,1,Successful ULZIEWT##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:18,2026-01-01T03:10:18
4596000,68578,20.0,1,4283795,cash_point,1,Successful XZMVMFP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:20,2026-01-01T03:10:20
4596001,48167,5.0,1,4283796,cash_point,1,Successful XZMVMFP##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:20,2026-01-01T03:10:20
4596002,68578,20.0,1,4283797,cash_point,1,Successful UJOJCFK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:20,2026-01-01T03:10:20
4596003,48167,5.0,1,4283798,cash_point,1,Successful UJOJCFK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:20,2026-01-01T03:10:20
4596004,68578,20.0,1,4283799,cash_point,1,Successful XGWXERX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:21,2026-01-01T03:10:21
4596005,48167,5.0,1,4283800,cash_point,1,Successful XGWXERX##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:21,2026-01-01T03:10:21
4596006,68578,20.0,1,4283801,cash_point,1,Successful AYMHSKI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:21,2026-01-01T03:10:21
4596007,48167,5.0,1,4283802,cash_point,1,Successful AYMHSKI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:21,2026-01-01T03:10:21
4596008,68578,20.0,1,4283803,cash_point,1,Successful LZOFCCH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:22,2026-01-01T03:10:22
4596009,48167,5.0,1,4283804,cash_point,1,Successful LZOFCCH##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:22,2026-01-01T03:10:22
4596010,68578,20.0,1,4283805,cash_point,1,Successful XYYTPDM##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:22,2026-01-01T03:10:22
4596011,48167,5.0,1,4283806,cash_point,1,Successful XYYTPDM##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:22,2026-01-01T03:10:22
4596012,68578,20.0,1,4283807,cash_point,1,Successful JCHLIVF##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:23,2026-01-01T03:10:23
4596013,48167,5.0,1,4283808,cash_point,1,Successful JCHLIVF##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:23,2026-01-01T03:10:23
4596014,68578,20.0,1,4283809,cash_point,1,Successful GTINYNI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:23,2026-01-01T03:10:23
4596015,48167,5.0,1,4283810,cash_point,1,Successful GTINYNI##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:24,2026-01-01T03:10:24
4596016,68578,20.0,1,4283811,cash_point,1,Successful HJGOOBS##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:24,2026-01-01T03:10:24
4596017,48167,5.0,1,4283812,cash_point,1,Successful HJGOOBS##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:24,2026-01-01T03:10:24
4596018,68578,20.0,1,4283813,cash_point,1,Successful AQAIHLG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:25,2026-01-01T03:10:25
4596019,48167,5.0,1,4283814,cash_point,1,Successful AQAIHLG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:25,2026-01-01T03:10:25
4596020,68578,20.0,1,4283815,cash_point,1,Successful RWAZALK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:25,2026-01-01T03:10:25
4596021,48167,5.0,1,4283816,cash_point,1,Successful RWAZALK##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:25,2026-01-01T03:10:25
4596022,68578,20.0,1,4283817,cash_point,1,Successful HVFEOAG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:26,2026-01-01T03:10:26
4596023,48167,5.0,1,4283818,cash_point,1,Successful HVFEOAG##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:26,2026-01-01T03:10:26
4596024,68578,20.0,1,4283819,cash_point,1,Successful QFYMNZD##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:26,2026-01-01T03:10:26
4596025,48167,5.0,1,4283820,cash_point,1,Successful QFYMNZD##AMC111BTRNK2P#80 QR scan,2026-01-01T03:10:26,2026-01-01T03:10:26
